dataset,variant,variant_label,split,threshold,n_seeds,n_clean_images,fp_image_rate_mean,fp_image_rate_std,fp_image_rate_ci_lower,fp_image_rate_ci_upper,mean_predictions_per_clean_image_mean,mean_predictions_per_clean_image_std
vnwoodknot,a2_colorjitter,A2 colour jitter,test,0.15,3,75,0.004444444552063942,0.0076980037755974475,0.0,0.013333333656191826,0.0044444444444444444,0.0076980035891950115
vnwoodknot,a2_colorjitter,A2 colour jitter,test,0.2,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a2_colorjitter,A2 colour jitter,test,0.25,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a2_colorjitter,A2 colour jitter,test,0.3,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a2_colorjitter,A2 colour jitter,test,0.35,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a2_colorjitter,A2 colour jitter,test,0.4,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a2_colorjitter,A2 colour jitter,test,0.45,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a2_colorjitter,A2 colour jitter,test,0.5,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a2_colorjitter,A2 colour jitter,test,0.55,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a2_colorjitter,A2 colour jitter,test,0.6,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a2_colorjitter,A2 colour jitter,test,0.65,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a2_colorjitter,A2 colour jitter,test,0.7,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a2_colorjitter,A2 colour jitter,test,0.75,3,75,0.0,0.0,0.0,0.0,0.0,0.0
vnwoodknot,a2_colorjitter,A2 colour jitter,test,0.8,3,75,0.0,0.0,0.0,0.0,0.0,0.0
